wk_code;wk_naam;jaar;lbm;afw;fys;onv;soc;vrz;won
WK036201;Randwijck;2002;4.282797957450199;0.18053310630651362;NA;NA;NA;NA;NA
WK036201;Randwijck;2008;4.295275786870071;0.19301093572638559;NA;NA;NA;NA;NA
WK036201;Randwijck;2012;4.275980787988706;0.1737159368450209;NA;NA;NA;NA;NA
WK036201;Randwijck;2014;4.270599604867483;0.1683347537237974;0.00640022300912212;0.044195112697823044;-0.003667634554194118;0.1670640836394402;-0.04565703106839407
WK036201;Randwijck;2016;4.284123017358952;0.18185816621526632;NA;NA;NA;NA;NA
WK036201;Randwijck;2018;4.302987301626246;0.20072245048256035;-0.005634914167406293;0.050816306874005145;-0.002205237767937762;0.17216304738764107;-0.014416751843742127
WK036201;Randwijck;2020;4.310702457253576;0.20843760610989182;5.578523858732957e-4;0.05407208032496768;3.9944073780324535e-4;0.18817262928091844;-0.0347643966196711
WK036201;Randwijck;2022;4.328186939975703;0.2259220888320177;-0.007289500760402092;0.05413682488833206;-0.0037912123140788493;0.18900822382431368;-0.006142246806147354
WK036202;Patrimonium;2002;4.236791730008258;0.13452687886457176;NA;NA;NA;NA;NA
WK036202;Patrimonium;2008;4.303876998321018;0.2016121471773323;NA;NA;NA;NA;NA
WK036202;Patrimonium;2012;4.280749561579371;0.1784847104356853;NA;NA;NA;NA;NA
WK036202;Patrimonium;2014;4.312819768685171;0.2105549175414854;0.03356612236178832;0.01614461541318491;-0.011507431220160779;0.1438289923435293;0.02852261864314334
WK036202;Patrimonium;2016;4.305837146487208;0.20357229534352256;NA;NA;NA;NA;NA
WK036202;Patrimonium;2018;4.299907014484111;0.19764216334042578;0.016441193079037436;0.020387502315904957;-0.012621512250793117;0.14552611042494384;0.027908869771332345
WK036202;Patrimonium;2020;4.327452652184433;0.2251878010407474;0.024580725213770877;0.0304771612441437;-0.01771423068480699;0.1606605740286027;0.027183571239036777
WK036202;Patrimonium;2022;4.325796064141405;0.2235312129977195;0.022166160650995543;0.024020758087835915;-0.012533323809023432;0.1624917246444883;0.02738589342342292
WK036203;Elsrijk;2002;4.2481452676443565;0.14588041650067102;NA;NA;NA;NA;NA
WK036203;Elsrijk;2008;4.2519329246061;0.14966807346241506;NA;NA;NA;NA;NA
WK036203;Elsrijk;2012;4.255934321785825;0.15366947064213993;NA;NA;NA;NA;NA
WK036203;Elsrijk;2014;4.262875502043642;0.1606106508999576;0.005680085318293196;0.030808520244837045;-0.011729043777225806;0.16256563109930303;-0.026714541985250095
WK036203;Elsrijk;2016;4.2747791305129565;0.172514279369272;NA;NA;NA;NA;NA
WK036203;Elsrijk;2018;4.2567732827838105;0.15450843164012454;-0.011134758072829567;0.03317469385190208;-0.009834892789360778;0.14872295581515052;-0.006419567164737997
WK036203;Elsrijk;2020;4.277322519597907;0.1750576684542211;-0.0033721633026153404;0.031433562702396375;-0.008471352358563299;0.17502871570588469;-0.019561094292881644
WK036203;Elsrijk;2022;4.2880714142166765;0.18580656307299104;-0.006833370634043529;0.030831992792697223;-0.012480054600531788;0.1752920388463114;-0.0010040433314425481
WK036204;Stadshart;2002;4.23561084179739;0.13334599065370503;NA;NA;NA;NA;NA
WK036204;Stadshart;2008;4.233882342876491;0.13161749173280574;NA;NA;NA;NA;NA
WK036204;Stadshart;2012;4.151188212098928;0.04892336095524272;NA;NA;NA;NA;NA
WK036204;Stadshart;2014;4.182589592875691;0.08032474173200535;0.01800001133093026;-0.006008697489945553;-0.027870932282098696;0.1798111914981002;-0.08360683132498113
WK036204;Stadshart;2016;4.155350006189446;0.05308515504576057;NA;NA;NA;NA;NA
WK036204;Stadshart;2018;4.1468239281837205;0.04455907704003564;-0.0037890224581858607;-0.013079351160263758;-0.031713838243763934;0.1442665540409549;-0.05112526513870594
WK036204;Stadshart;2020;4.167126699244987;0.06486184810130165;0.01020788451804643;-0.01618165021315404;-0.024246283626585336;0.16659874211769318;-0.07151684469469888
WK036204;Stadshart;2022;4.18987089017682;0.08760603903313491;0.014988352250932023;-0.020257915674692956;-0.03471246445828339;0.16454765893926493;-0.03695959202408606
WK036205;Uilenstede, Kronenburg;2002;3.586873597347027;-0.515391253796658;NA;NA;NA;NA;NA
WK036205;Uilenstede, Kronenburg;2008;3.679962878856525;-0.42230197228716004;NA;NA;NA;NA;NA
WK036205;Uilenstede, Kronenburg;2012;3.635750470235099;-0.4665143809085863;NA;NA;NA;NA;NA
WK036205;Uilenstede, Kronenburg;2014;3.732543433486889;-0.36972141765679617;0.006734195495873132;-0.09449503694618926;-0.020145365960050444;0.15905526575936826;-0.42087047600579813
WK036205;Uilenstede, Kronenburg;2016;3.7339021922932387;-0.3683626588504464;NA;NA;NA;NA;NA
WK036205;Uilenstede, Kronenburg;2018;4.085115315275467;-0.017149535868218716;0.00838486012075024;-0.07409159303502504;-0.0030414100395950556;0.16143697184227826;-0.10983836475662717
WK036205;Uilenstede, Kronenburg;2020;4.122629397103652;0.020364545959966864;0.017680081178437532;-0.08703882180782699;-0.0026797725413435203;0.19879160089132059;-0.10638854176062085
WK036205;Uilenstede, Kronenburg;2022;4.054529948582003;-0.04773490256168283;0.006191225972665287;-0.07648410939726548;-0.011590873021570415;0.17458301410290858;-0.14043416021842134
WK036206;Bankras, Kostverloren;2002;4.152047669616414;0.04978281847272932;NA;NA;NA;NA;NA
WK036206;Bankras, Kostverloren;2008;4.144915010713167;0.042650159569482295;NA;NA;NA;NA;NA
WK036206;Bankras, Kostverloren;2012;4.1453028867862605;0.04303803564257579;NA;NA;NA;NA;NA
